夏瑶	449591	42426
早见沙织	450480	42298
莫老	450513	42292
许允美	451903	42103
赵一博	455451	41622
李子杰	456358	41493
扎西平措	456719	41444
朱雅	457156	41385
周子轩	457778	41297
阿任	459754	41030
坂井泉水	461269	40832
刘丹萌	465328	40303
鼻血姬	469384	39793
嘉骏	471687	39504
朴春	473214	39311
衡越	473236	39309
陈子阳	475805	38988
李佩玲	476598	38886
名井南	477928	38735
禹智皓	484550	37952
尹净汉	485892	37790
韦琪	486692	37700
吴哲晗	488031	37547
解晓东	489021	37431
刘美麟	490921	37214
刘昊霖	491831	37116
沈梦瑶	492601	37033
梦凯	492851	37007
乐凡	498258	36408
何家豪	498670	36363
蓝琪儿	499028	36327
张磊磊	499291	36298
郑俊英	500689	36155
金钟炫	502106	36013
李嘉格	505844	35624
旺姆	509267	35268
赵大格	509638	35230
金南珠	510688	35121
叶文辉	512135	34965
万丽娜	512923	34887
邓福如	516636	34519
刘明昊	517008	34485
苗伟	520885	34099
茶米	522778	33921
富九	526042	33609
赵骏	527724	33441
李雪主	528682	33350
艾尼瓦尔	530402	33183
影山	531475	33088
宫傲	532258	33015
李大奔	535590	32702
刘艾立	535882	32675
草帽姐	536645	32608
吴思佳	537090	32569
吴丹妮	537416	32538
郑国锋	540236	32281
艾怡良	541610	32162
陈玉建	543296	32016
尹智圣	543747	31978
玛蒂娜	548063	31610
杨浩楠	549883	31450
魏冰雪	549999	31441
艾克拜尔	552017	31275
林子琪	554843	31042
包师语	556645	30889
全圆佑	556799	30875
丁一凡	557583	30813
吴映香	559031	30694
任妙音	561651	30479
李浩文	563626	30314
金请夏	564103	30277
王雅欣	564172	30271
斯汀	565922	30133
胡楚靓	566047	30123
项亚蕻	569093	29885
蔡宗强	575385	29402
黄琬婷	577451	29246
刘婉莹	580557	29013
朴彩英	583003	28835
张静波	585322	28664
莫安琪	587195	28531
俊锋	587979	28477
崔胜澈	589168	28388
余家辉	589574	28362
潘倩倩	590376	28303
余枫	590632	28284
郭少杰	591602	28212
金艺林	591941	28188
苏杉杉	594596	28002
闫欣	595613	27932
程思琪	596918	27840
高姗	597062	27831
芦田爱菜	597537	27795
昭宥	598061	27762
萨日朗	604725	27319
丁武	606851	27176
崔萍	607903	27103
贺美琦	609210	27020
孔肖吟	609920	26973
黄汐源	609934	26972
李芙蓉	611263	26887
李俊熙	611866	26849
中本悠太	613879	26719
汪睿	621631	26229
赵牧阳	621718	26223
申智珉	622026	26204
南条爱乃	622537	26176
雷雨心	624070	26085
和田光司	624101	26083
谭芷昀	625830	25974
金圣柱	636108	25369
向洋	637440	25288
贾昱	640949	25085
金珉奎	641110	25076
柳熙烈	641265	25067
胡德夫	641433	25056
李成宇	645309	24837
苏立生	647855	24693
黎丹	647946	24687
莫小娘	653570	24373
张晓钰	657214	24171
温博	658312	24113
花江夏树	659153	24067
李雪儿	664834	23770
润土	666228	23693
姜东昊	667647	23619
隋柯名	667707	23617
岑宁儿	672802	23357
胜屿	672942	23349
陆海涛	673005	23345
李浩鹏	673393	23325
许廷铿	677331	23130
武乐	677753	23109
崔天琪	681275	22936
柏文	681468	22926
阿鲁阿卓	687681	22628
斯琴格日乐	688192	22604
白石麻衣	692376	22406
莫西子诗	695125	22273
毛泽少	701091	21991
西单女孩	701246	21984
金亚荣	702321	21932
赵浴辰	703108	21896
杨惠婷	704948	21811
张恒远	705012	21808
依桐	705050	21806
聚来提	705109	21804
艾莉婕	706622	21733
魏佳艺	714263	21394
杨美娜	715176	21352
于湉	715417	21341
刘东明	716260	21303
陈玮镔	716627	21287
邱欣怡	720753	21107
张玮琪	722451	21036
林翠萍	724678	20940
于梓贝	727115	20842
咕噜碳	727178	20839
徐尧	730026	20716
陈珊妮	730099	20713
邵元	731189	20670
雨禾	735316	20502
李昇勋	736754	20441
马全	738085	20388
彭楚粤	741673	20247
陶钰玉	742157	20229
钧泽	746496	20058
李炳辉	753129	19790
马剑越	760310	19522
尹普美	764391	19369
沈懿	764795	19355
李魏西	770198	19153
张亚峰	770970	19123
刁磊	771669	19098
任和	775969	18944
李慧林	776908	18909
杨雪晴	777427	18890
汤旭	779279	18825
徐剑秋	779814	18805
杨姣	780246	18790
蓝又时	781493	18747
刘伟男	787669	18531
潘儿	790150	18445
铃木达央	790794	18422
暴林	792373	18367
金久哲	793359	18333
陈思维	797860	18184
朴明秀	797868	18183
王瑞霞	799644	18125
